asset	group	status	allowed_use	release_policy	notes
bazi-ziwei-mingli-skill-v8.5.zip	external_skill_archive	review_required	source_archive_only	excluded_from_export	外部分发包仅作来源归档和方法论参考，不能直接作为生产依赖。
books/	public_domain_candidates	review_required	rule_index_seed	extract_short_structured_rules_only	古籍候选需逐本确认版本、来源和版权状态；不得复制大段原文进报告。
classics/五行精纪 - 廖中.txt	public_domain_candidate	review_required	rule_index_seed	cite_source_and_extract_short_structured_rules_only	基于 ctext 当前资源页可见文本整理；原典为古籍候选，引用或外部分发前需保留来源并复核授权边界。
classics/兰台妙选 - 西窗老人.txt	public_domain_candidate	review_required	rule_index_seed	cite_source_and_extract_short_structured_rules_only	基于 ctext 当前资源页可见文本整理；古法纳音/格局辅助资料，进入规则前需人工复核。
classics/子平真诠评注 - 沈孝瞻.txt	public_domain_candidate	review_required	rule_index_seed	cite_source_and_extract_short_structured_rules_only	基于 ctext 当前资源页可见文本整理；评注层只能提炼短规则摘要，不得把大段原文复制进报告。
classics/滴天髓阐微 - 任铁樵.txt	public_domain_candidate	review_required	rule_index_seed	cite_source_and_extract_short_structured_rules_only	基于 ctext 当前资源页可见文本整理；注解与命例需先做规则摘要和边界复核。
classics/珞琭子三命消息赋注 - 珞琭子.txt	public_domain_candidate	review_required	rule_index_seed	cite_source_and_extract_short_structured_rules_only	基于 ctext 当前资源页可见文本整理；古法命理资料只作规则索引种子。
classics/神峰通考 - 张楠.txt	public_domain_candidate	review_required	rule_index_seed	cite_source_and_extract_short_structured_rules_only	基于 ctext 当前资源页可见文本刷新；替代无来源头的本地 TXT，并保留来源链接。
classics/三命通会 - 万明英.txt	public_domain_candidate	review_required	rule_index_seed	cite_source_and_extract_short_structured_rules_only	canonical TXT 已入库；来源链需继续补强，进入规则层时只允许短规则摘要和来源索引。
classics/八字知识.txt	mixed_notes	review_required	internal_reference_only	no_direct_distribution_before_source_review	混合八字知识文本；需复核来源、原创性和授权，不能作为报告原文或生产断语直接分发。
classics/千里命稿 - 韦千里.txt	modern_text_candidate	review_required	rule_index_seed	extract_short_structured_rules_only	近现代命理文本候选；需人工复核版权状态，当前只作内部规则提炼候选。
classics/子平真诠原本 - 沈孝瞻.txt	public_domain_candidate	review_required	rule_index_seed	cite_source_and_extract_short_structured_rules_only	canonical TXT 已入库；来源链需继续补强，进入规则层时只允许短规则摘要和来源索引。
classics/李虚中命书 - 李虚中.txt	public_domain_candidate	review_required	rule_index_seed	cite_source_and_extract_short_structured_rules_only	canonical TXT 已入库；来源链需继续补强，进入规则层时只允许短规则摘要和来源索引。
classics/渊海子平 - 徐子平.txt	public_domain_candidate	review_required	rule_index_seed	cite_source_and_extract_short_structured_rules_only	canonical TXT 已入库；来源链需继续补强，进入规则层时只允许短规则摘要和来源索引。
classics/滴天髓原文 - 刘基.txt	public_domain_candidate	review_required	rule_index_seed	cite_source_and_extract_short_structured_rules_only	canonical TXT 已入库；来源链需继续补强，进入规则层时只允许短规则摘要和来源索引。
classics/穷通宝鉴 - 佚名.txt	public_domain_candidate	review_required	rule_index_seed	cite_source_and_extract_short_structured_rules_only	canonical TXT 已入库；来源链需继续补强，进入规则层时只允许短规则摘要和来源索引。
ctext/增补星平会海命学全书	ocr_review_required	blocked_until_manual_correction	do_not_ingest	no_distribution_before_ocr_review	ctext 页面明确为影印 OCR 自动识别且目录锚点异常多；未人工校对前不得进入 canonical TXT 或规则源。
core/	methodology_notes	review_required	internal_research_only	no_direct_distribution	方法论笔记需人工复核原创性和授权后，才能提炼为项目规则。
cases/	case_material	review_required	no_frontend_examples	no_distribution_before_privacy_review	案例材料必须先做隐私脱敏与来源授权复核。
lightrag/merged.json	knowledge_graph	review_required	index_design_reference	no_direct_runtime_dependency	知识图谱体量大且来源混合，只能参考结构，不得直接进入生产检索。
scripts/	installer_scripts	blocked	do_not_execute	no_distribution_before_security_review	外部安装脚本可能创建 skill 链接或调用外部服务，默认禁止自动执行。
raw/bazi/pdf	modern_and_classic_pdf	review_required	source_archive_only	excluded_from_export	PDF 中现代讲义、评注和扫描本需逐项版权复核。
raw/bazi/text	text_corpus	review_required	rule_index_seed	extract_short_structured_rules_only	TXT 可作为规则提炼输入，但输出只能保留短规则摘要和来源索引。
raw/liuren	liuren_corpus	review_required	future_capability_research	excluded_from_export	大六壬资料先用于 provider 设计和测试 fixture，不直接发布。
raw/yijing	yijing_corpus	review_required	future_capability_research	excluded_from_export	六爻/易经资料先用于未来 capability 规则梳理。
